numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,asistencia,anio_academico
1,anon_245,Computación Emergente,2526-2,1,1,martes,0,administrativa,0,,4
1,anon_245,Computación Emergente,2526-2,1,1,jueves,1,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,2,martes,2,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,2,jueves,3,contenido,1,1,4
1,anon_245,Computación Emergente,2526-2,1,3,martes,8,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,3,jueves,3,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,4,martes,3,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,4,jueves,3,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,5,martes,0,evaluacion,0,,4
1,anon_245,Computación Emergente,2526-2,1,5,jueves,0,evaluacion,0,,4
1,anon_245,Computación Emergente,2526-2,1,6,martes,6,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,6,jueves,0,evaluacion,0,,4
1,anon_245,Computación Emergente,2526-2,1,7,martes,0,sin_clase,,,4
1,anon_245,Computación Emergente,2526-2,1,7,jueves,6,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,8,martes,6,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,8,jueves,0,evaluacion,0,,4
1,anon_245,Computación Emergente,2526-2,1,9,martes,0,evaluacion,0,,4
1,anon_245,Computación Emergente,2526-2,1,9,jueves,9,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,10,martes,9,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,10,jueves,9,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,11,martes,0,evaluacion,0,,4
1,anon_245,Computación Emergente,2526-2,1,11,jueves,9,contenido,0,,4
1,anon_245,Computación Emergente,2526-2,1,12,martes,0,evaluacion,0,,4
1,anon_245,Computación Emergente,2526-2,1,12,jueves,0,administrativa,0,,4
2,anon_246,Computación Emergente,2526-2,1,1,martes,0,administrativa,0,,5
2,anon_246,Computación Emergente,2526-2,1,1,jueves,1,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,2,martes,2,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,2,jueves,3,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,3,martes,8,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,3,jueves,3,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,4,martes,3,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,4,jueves,3,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,5,martes,0,evaluacion,0,,5
2,anon_246,Computación Emergente,2526-2,1,5,jueves,0,evaluacion,0,,5
2,anon_246,Computación Emergente,2526-2,1,6,martes,6,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,6,jueves,0,evaluacion,0,,5
2,anon_246,Computación Emergente,2526-2,1,7,martes,0,sin_clase,,,5
2,anon_246,Computación Emergente,2526-2,1,7,jueves,6,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,8,martes,6,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,8,jueves,0,evaluacion,0,,5
2,anon_246,Computación Emergente,2526-2,1,9,martes,0,evaluacion,0,,5
2,anon_246,Computación Emergente,2526-2,1,9,jueves,9,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,10,martes,9,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,10,jueves,9,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,11,martes,0,evaluacion,0,,5
2,anon_246,Computación Emergente,2526-2,1,11,jueves,9,contenido,0,,5
2,anon_246,Computación Emergente,2526-2,1,12,martes,0,evaluacion,0,,5
2,anon_246,Computación Emergente,2526-2,1,12,jueves,0,administrativa,0,,5
3,anon_222,Computación Emergente,2526-2,1,1,martes,0,administrativa,0,,5
3,anon_222,Computación Emergente,2526-2,1,1,jueves,1,contenido,0,,5
3,anon_222,Computación Emergente,2526-2,1,2,martes,2,contenido,0,,5
3,anon_222,Computación Emergente,2526-2,1,2,jueves,3,contenido,0,,5
3,anon_222,Computación Emergente,2526-2,1,3,martes,8,contenido,0,,5
3,anon_222,Computación Emergente,2526-2,1,3,jueves,3,contenido,0,,5
3,anon_222,Computación Emergente,2526-2,1,4,martes,3,contenido,0,,5
3,anon_222,Computación Emergente,2526-2,1,4,jueves,3,contenido,0,,5
3,anon_222,Computación Emergente,2526-2,1,5,martes,0,evaluacion,0,,5
3,anon_222,Computación Emergente,2526-2,1,5,jueves,0,evaluacion,0,,5
